Sample_ID,Response_Group,Trajectory_cluster,PCoA1,PCoA2
YT1,Suppressed,Weak / delayed response,-3.0200416131228063,0.8558922788934465
GL,Suppressed,Weak / delayed response,-2.3012981628006526,0.9675158307147509
XY,Suppressed,Weak / delayed response,-1.2339630801861254,0.6619019374248187
SH2,Suppressed,Weak / delayed response,-1.4184906118403915,0.2011337451374634
RL,Suppressed,Weak / delayed response,-1.5989397695552732,0.51292371345433
CF,Suppressed,Weak / delayed response,-1.6172667203369002,0.3532889967980685
BS,Promoted,Weak / delayed response,0.6620588123262087,1.3778147716249343
XN,Suppressed,Weak / delayed response,-1.158831965143889,1.1836106021872226
YT2,Promoted,Weak / delayed response,-0.8895029689863593,1.1267066287023335
ZQ,Promoted,Weak / delayed response,-0.9326635040374136,-0.8734373617980665
ATS,Promoted,Weak / delayed response,-1.2421583500139546,-1.01651899897818
HK,Suppressed,Weak / delayed response,-1.2388969199810531,0.10173780876845298
WL,Suppressed,Weak / delayed response,-1.3214283385095569,-0.031578748184941635
LZ,Promoted,Weak / delayed response,-0.8373822341578975,0.025888589512585256
LY,Promoted,Weak / delayed response,-0.44404147602648497,0.0015269252244152602
YY,Promoted,Weak / delayed response,-0.4229932813933459,0.41121230422216204
TZ,Promoted,Weak / delayed response,-0.7111750202072888,0.60344551725321
BJ,Promoted,Weak / delayed response,-1.0252543866627417,-0.2593382368011835
ZY,Promoted,Weak / delayed response,-0.7317799566576441,0.12848285608997795
YC1,Promoted,Weak / delayed response,-0.8621431370139389,0.18878758887543798
HZ,Promoted,Mixed response,0.9252815330620259,-3.0675314899155675
SQ,Promoted,Mixed response,1.5425772583740465,-1.3958510600198504
HF,Promoted,Mixed response,0.9775803503546353,-0.5826973696941556
NJ,Promoted,Mixed response,1.4882166246077109,-1.069925520494223
MH,Promoted,Mixed response,-0.6841778306922008,-1.0983604223718355
DL,Promoted,Mixed response,-0.09513507851249493,-0.10524179617641125
CQ,Promoted,Mixed response,-0.06038579115192913,-0.14440444932712437
LS1,Promoted,Mixed response,-0.15269810871909315,-0.8466558712125505
TH1,Promoted,Mixed response,0.08387830088060523,-0.5942870062947626
WH,Promoted,Mixed response,0.3518967638044815,-0.8695822672713307
SN,Promoted,Mixed response,0.4118823706297084,-0.9505649970141764
XC,Promoted,Early promotion / switching,3.0892105575795292,0.21686845138942704
AY,Promoted,Early promotion / switching,1.376827109799215,-0.6693622926461759
JC,Promoted,Early promotion / switching,0.8537470650243132,-1.0827342141042906
WF,Promoted,Early promotion / switching,-0.174126704563908,-0.5066969907522129
CY,Promoted,Early promotion / switching,0.46136538382035025,0.40147724102407434
WZ,Promoted,Early promotion / switching,0.4806938222068071,0.054999017979391294
LS2,Promoted,Early promotion / switching,0.7083424446684942,0.0958636739809563
YC2,Promoted,Consistent promotion,3.8837200028281273,0.9008371263449955
SY,Promoted,Consistent promotion,4.068974771608689,1.7382869482178047
BB,Promoted,Consistent promotion,1.1249037074514838,0.9215580859956254
SH1,Promoted,Consistent promotion,1.6836181312469103,2.1330084532411577
