Site,LNRR,y,Group,Color
YT1,-0.7990489233152508,0,Suppressed/non-promoted,#D62728
GL,-0.2025888701428038,1,Suppressed/non-promoted,#D62728
RL,-0.1912163737456066,2,Suppressed/non-promoted,#D62728
XY,-0.1770002440267771,3,Suppressed/non-promoted,#D62728
CF,-0.1720061397216955,4,Suppressed/non-promoted,#D62728
HK,-0.1419516945771779,5,Suppressed/non-promoted,#D62728
WL,-0.1101422414887724,6,Suppressed/non-promoted,#D62728
SH2,-0.1036470698067401,7,Suppressed/non-promoted,#D62728
XN,-0.02504187935760721,8,Suppressed/non-promoted,#D62728
BJ,0.01726482324828967,9,Promoted,#1F78B4
YT2,0.02523669812575705,10,Promoted,#1F78B4
ATS,0.02710176553964556,11,Promoted,#1F78B4
LZ,0.04365065314360148,12,Promoted,#1F78B4
YC1,0.06996911483900871,13,Promoted,#1F78B4
ZY,0.1060696098197843,14,Promoted,#1F78B4
TZ,0.10905446783198,15,Promoted,#1F78B4
LY,0.1143926935113369,16,Promoted,#1F78B4
YY,0.1665140856299654,17,Promoted,#1F78B4
ZQ,0.1898201250417681,18,Promoted,#1F78B4
DL,0.256488933693225,19,Promoted,#1F78B4
CQ,0.2893026307413875,20,Promoted,#1F78B4
LS1,0.3065037814770032,21,Promoted,#1F78B4
CY,0.3439253820819783,22,Promoted,#1F78B4
TH1,0.3513868676072651,23,Promoted,#1F78B4
HZ,0.3583278183816975,24,Promoted,#1F78B4
MH,0.4202895398187155,25,Promoted,#1F78B4
WF,0.4262950312873049,26,Promoted,#1F78B4
SN,0.5045617639035808,27,Promoted,#1F78B4
WZ,0.5122010455546112,28,Promoted,#1F78B4
BS,0.5226858796343572,29,Promoted,#1F78B4
LS2,0.5405168591463604,30,Promoted,#1F78B4
HF,0.5861919539862114,31,Promoted,#1F78B4
WH,0.658000638063182,32,Promoted,#1F78B4
BB,0.7251425226660873,33,Promoted,#1F78B4
JC,0.7458502465524116,34,Promoted,#1F78B4
AY,0.7499491251907943,35,Promoted,#1F78B4
SH1,0.8320293321051008,36,Promoted,#1F78B4
NJ,0.9280647745066047,37,Promoted,#1F78B4
SQ,1.080996272963314,38,Promoted,#1F78B4
XC,1.249903840618026,39,Promoted,#1F78B4
YC2,1.465845426698962,40,Promoted,#1F78B4
SY,1.769516855120657,41,Promoted,#1F78B4
