variable,variable_label,time,spearman_rho,p,significance
OPR_FeP,ORP × FeP,24 h,-0.5752370148286201,6.749518845963154e-05,***
OPR_FeP,ORP × FeP,48 h,-0.11044485860140993,0.4862419515470848,
OPR_FeP,ORP × FeP,72 h,-0.3097804067741674,0.04588695502892978,*
OPR_FeP,ORP × FeP,Cum.,-0.5455797747346244,0.00018644436953870304,***
FeII,Fe(II),24 h,-0.0025119520298193016,0.98740349726363,
FeII,Fe(II),48 h,0.029252086540798965,0.854097156074098,
FeII,Fe(II),72 h,-0.14852929260189615,0.3478582736030075,
FeII,Fe(II),Cum.,-0.10947249007373795,0.4901119355765311,
NH4_NO3_Ratio,NH$_4^+$/NO$_3^-$,24 h,0.013856251519325825,0.930597695185576,
NH4_NO3_Ratio,NH$_4^+$/NO$_3^-$,48 h,-0.02584879669394701,0.8709193108499567,
NH4_NO3_Ratio,NH$_4^+$/NO$_3^-$,72 h,-0.29373632606757966,0.059016939355171334,
NH4_NO3_Ratio,NH$_4^+$/NO$_3^-$,Cum.,-0.1148205169759339,0.46902557200600226,
NaHCO3_P,NaHCO$_3$-P,24 h,-0.14690867838910945,0.35320249569177575,
NaHCO3_P,NaHCO$_3$-P,48 h,-0.2998946600761689,0.05366153473466325,
NaHCO3_P,NaHCO$_3$-P,72 h,0.15128433676363343,0.33888733034086616,
NaHCO3_P,NaHCO$_3$-P,Cum.,-0.23847338141155497,0.1282896500942747,
DOC,DOC,24 h,-0.037355157604732195,0.8143134649852832,
DOC,DOC,48 h,8.103071063933231e-05,0.9995936449804519,
DOC,DOC,72 h,0.0666882748561705,0.6747672962143425,
DOC,DOC,Cum.,0.0707398103881371,0.6561972457709774,
log_nosZ_norB_Ratio,log$_{10}$(nosZ/norB),24 h,-0.32387975042541123,0.03640224614971927,*
log_nosZ_norB_Ratio,log$_{10}$(nosZ/norB),48 h,-0.17802447127461307,0.2593405061112853,
log_nosZ_norB_Ratio,log$_{10}$(nosZ/norB),72 h,-0.05226480836236934,0.7423692142773037,
log_nosZ_norB_Ratio,log$_{10}$(nosZ/norB),Cum.,-0.3771979580260919,0.013798421645187974,*
